frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3446428776,3.3093466759,-0.3596403599,0.9790052561075886,-0.0921497653966677
20.286934558567687,3.8725252151,3.8269729614,-1.16883111,0.9766125010756018,-0.10277720853243022
41.15597137836079,4.001853466,3.9544756413,-1.1861615181,0.9764622204345088,-0.10344555012298567
83.49284980470904,4.038795948,4.0405550003,-3.3055019379,1.0008712672739148,0.0037822182708946938
169.3813980096452,4.0760755539,4.0281233788,-6.8292684555,0.9766097990157254,-0.10278922446829208
343.6229336860381,4.0387554169,3.9906377792,-13.6269788742,0.9763139895552783,-0.10410487660076445
697.1055968511703,3.9766197205,3.8075120449,-28.1367759705,0.9167574500887613,-0.37745552030799207
1414.213562373095,3.7930817604,3.1397349834,-57.538898468,0.6851751062542243,-1.6419842418407848
2869.0057991701874,3.7347278595,1.785805583,-102.5617446899,0.22863906218700197,-6.408495699030236
5820.333289591681,3.9300801754,0.5931636095,-140.6511688232,0.022779604417536944,-16.4245382199408
11807.672055499936,4.0381741524,0.1599373966,-159.3860778809,0.0015686640933232823,-28.044700443253134
23954.147027895593,4.1006040573,0.0431356765,-169.2898254395,0.00011065665880088196,-39.56022447136927
48595.62131612263,4.0879855156,0.00994136,-174.2568054199,5.913885408788707e-06,-52.28127094894934
98585.61894731162,4.1005635262,0.00376,20.7692298889,8.407920585660794e-07,-60.75311398950816
200000.00000000003,4.1385698318,0.0031999999,-8.3587026596,5.978598023868713e-07,-62.2340064575771
