frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3536336422,0.1126195192,88.5599822998,0.001127706548917142,-29.478038974859018
20.286934558567687,3.83558321,0.2591222227,87.3701248169,0.00456400911283914,-23.4065349710838
41.15597137836079,4.0373797417,0.537463665,82.0740737915,0.01772144044184071,-17.515009805009957
83.49284980470904,4.0496501923,1.0647288561,74.8872146606,0.06912625476680302,-11.603569723837692
169.3813980096452,4.0371890068,1.9777898788,60.8141098022,0.2399949681431581,-6.1979786383243205
343.6229336860381,3.999922514,3.0053999424,40.8247413635,0.5645486729585069,-2.48298609122467
697.1055968511703,3.9876172543,3.6925191879,20.8368206024,0.8574693169479746,-0.6678141148180338
1414.213562373095,3.9753503799,3.9056191444,8.1471004486,0.9652258772310197,-0.15371043385723515
2869.0057991701874,4.0121994019,3.9897422791,-3.5132031441,0.9888369086677389,-0.048753317662004414
5820.333289591681,4.0245418549,3.8792583942,-14.2823801041,0.9291044076534469,-0.3193547963399141
11807.672055499936,4.0369234085,3.4348208904,-32.6886787415,0.7239476650465279,-1.4029282828217329
23954.147027895593,4.0491900444,2.4789047241,-53.7931060791,0.3747859912449742,-4.262166505449507
48595.62131612263,4.0867233276,1.4121016264,-73.048538208,0.1193937059450997,-9.230185672213961
98585.61894731162,4.0993003845,0.6141567826,-88.4023666382,0.022446003088331074,-16.488609816638498
200000.00000000003,4.1117610931,0.0858382434,-97.4219512939,0.00043581873689733106,-33.60694102322451
