frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3360493183,0.1104842424,88.7868270874,0.0010968210058949436,-29.59864240697662
20.286934558567687,3.8625738621,0.2521699965,86.2713165283,0.004262194165117312,-23.703667697981942
41.15597137836079,4.0162091255,0.5228874087,83.0313034058,0.016950547515401777,-17.70816269196744
83.49284980470904,4.0532822609,1.0427004099,74.88722229,0.06617674355928255,-11.79294607515092
169.3813980096452,4.0160188675,1.9369432926,61.4217910767,0.23261746756373694,-6.33357676616547
343.6229336860381,4.0036616325,2.9615111351,41.7857131958,0.547157060168207,-2.618879925447619
697.1055968511703,3.9667053223,3.6222848892,23.8493728638,0.8338834039060852,-0.7889466948233992
1414.213562373095,3.9789083004,3.8819737434,12.2206516266,0.9518693143219313,-0.2142267342728678
2869.0057991701874,4.0156354904,3.9655849934,5.7731957436,0.9752275400428497,-0.10894042910839714
5820.333289591681,4.027990818,4.0023412704,3.3527357578,0.9873048957567968,-0.055487094410536494
11807.672055499936,4.0155978203,3.9900248051,0.4245283306,0.9873037159175173,-0.05549228427637207
23954.147027895593,4.0030908585,3.9777476788,0.172166422,0.9873782744446706,-0.05516432912111215
48595.62131612263,4.0154070854,3.9411814213,-0.1751824766,0.9633712727757222,-0.16206308261357852
98585.61894731162,4.0277628899,3.9533052444,-0.3546797931,0.9633695271492196,-0.16207095202660549
200000.00000000003,4.0401573181,3.9411425591,-0.5759999752,0.9515853261142871,-0.2155226360485185
