frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3367142677,0.4438713789,83.2016220093,0.017696046382706065,-17.521237520544815
20.286934558567687,3.8426837921,1.0090830326,75.0364990234,0.06895797668793933,-11.614154897319843
41.15597137836079,3.9485182762,1.9372569323,60.1976966858,0.2407166563358309,-6.184938577745534
83.49284980470904,3.9363718033,2.961553812,40.8340301514,0.5660398823669587,-2.4715296796069435
169.3813980096452,3.9001824856,3.5790572166,22.9423732758,0.8421072903689139,-0.7463257281537345
343.6229336860381,3.8875873089,3.7856097221,12.6185569763,0.9482249211112824,-0.23088634801826965
697.1055968511703,3.8756232262,3.8441400528,5.5191640854,0.9838192225478143,-0.0708469614456063
1414.213562373095,3.863699913,3.8559672832,2.5459690094,0.9960012981801746,-0.01740095519956978
2869.0057991701874,3.9234361649,3.8906877041,1.2385320663,0.9833759053790595,-0.07280436974383933
5820.333289591681,3.9355111122,3.8787140846,-0.0,0.9713444172405034,-0.12626751569571432
11807.672055499936,3.9234035015,3.8906471729,-0.212514773,0.9833717903387184,-0.07282254329316508
23954.147027895593,3.9113345146,3.8786764145,-0.3454894423,0.9833705049502607,-0.07282822006246634
48595.62131612263,3.8752279282,3.8430223465,-0.3501945436,0.9834478085040693,-0.07248683106239213
98585.61894731162,3.9111461639,3.8548455238,0.3553800583,0.9714173717247885,-0.12594134364363893
200000.00000000003,3.9231817722,3.8429834843,0.5755395889,0.9595335726900379,-0.17939825327729036
