frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,3.3261516094,0.0282879993,-110.7242736816,7.233031947428383e-05,-41.40679616672383
20.286934558567687,3.8276321888,0.058447957,93.2142868042,0.0002331730075308024,-36.323217256064936
41.15597137836079,4.0290079117,0.1202421561,88.6655731201,0.0008906709134305368,-30.50282730173208
83.49284980470904,4.0412521362,0.242791757,86.5442352295,0.0036094080412927875,-24.4256401844902
169.3813980096452,4.078555584,0.4830915928,83.3581466675,0.014029629053022468,-18.529538116769263
343.6229336860381,4.0412135124,0.9572867155,76.2061843872,0.056112610208957046,-12.509395286057526
697.1055968511703,3.9793486595,1.7783130407,63.5589675903,0.19970661087784197,-6.996075584630662
1414.213562373095,3.8683941364,2.7358560562,44.299861908,0.5001785403966136,-3.008749451270262
2869.0057991701874,3.7855124474,3.4046187401,26.4523525238,0.8088865488732381,-0.9211238648840198
5820.333289591681,3.7272768021,3.6340134144,12.991850853,0.9505823790355776,-0.22010240492073485
11807.672055499936,3.7158069611,3.6672844887,6.3829784393,0.9740537330833295,-0.11417084868903776
23954.147027895593,3.7272427082,3.7012736797,2.2413794994,0.9861138311685261,-0.060729497698079206
48595.62131612263,3.6928379536,3.6672458649,2.7961163521,0.9861876367539523,-0.06040446261576054
98585.61894731162,3.7272102833,3.6559641361,0.3553800583,0.9621351081428436,-0.16763937732607725
200000.00000000003,3.7386789322,3.6447150707,-0.0,0.9503658533979467,-0.2210917626361736
